Director,IMDb Page
Miia Tervo,"{'Director': 'Miia Tervo', 'IMDb Page': 'https://www.imdb.com/name/nm3558606/?ref_=fn_nme_nme_1'}"
Janet Tobias,"{'Director': 'Janet Tobias', 'IMDb Page': 'https://www.imdb.com/name/nm0864878/?ref_=fn_nme_nme_1'}"
Kim Joo-ri,"{'Director': 'Kim Joo-ri', 'IMDb Page': 'https://www.imdb.com/name/nm8728058/?ref_=fn_nme_nme_1'}"
Sophie Moone,"{'Director': 'Sophie Moone', 'IMDb Page': 'https://www.imdb.com/name/nm0598241/?ref_=fn_nme_nme_1'}"
Mina Keshavarz,"{'Director': 'Mina Keshavarz', 'IMDb Page': 'https://www.imdb.com/name/nm6564198/?ref_=fn_nme_nme_1'}"
Sidse Stausholm,"{'Director': 'Sidse Stausholm', 'IMDb Page': 'https://www.imdb.com/name/nm1395011/?ref_=fn_nme_nme_1'}"
Izabella Cywińska,"{'Director': 'Izabella Cywińska', 'IMDb Page': 'https://www.imdb.com/name/nm1393392/?ref_=fn_nme_nme_1'}"
Kim Han-Kyul,"{'Director': 'Kim Han-Kyul', 'IMDb Page': 'https://www.imdb.com/name/nm11023639/?ref_=fn_nme_nme_1'}"
Mariem Pérez Riera,"{'Director': 'Mariem Pérez Riera', 'IMDb Page': 'https://www.imdb.com/name/nm0702012/?ref_=fn_nme_nme_1'}"
Anat Zuria,"{'Director': 'Anat Zuria', 'IMDb Page': 'https://www.imdb.com/name/nm1235009/?ref_=fn_nme_nme_1'}"
Chen Yin-Jung,"{'Director': 'Chen Yin-Jung', 'IMDb Page': 'https://www.imdb.com/name/nm1697638/?ref_=fn_nme_nme_1'}"
Carlota Pereda,"{'Director': 'Carlota Pereda', 'IMDb Page': 'https://www.imdb.com/name/nm2717602/?ref_=fn_nme_nme_1'}"
Sandra Gysi,"{'Director': 'Sandra Gysi', 'IMDb Page': 'https://www.imdb.com/name/nm4559149/?ref_=fn_nme_nme_1'}"
Jeong Ga-young,"{'Director': 'Jeong Ga-young', 'IMDb Page': 'https://www.imdb.com/name/nm9282974/?ref_=fn_nme_nme_1'}"
Eva Spreitzhofer,"{'Director': 'Eva Spreitzhofer', 'IMDb Page': 'https://www.imdb.com/name/nm0819629/?ref_=fn_nme_nme_1'}"
Guðrún Ragnarsdóttir,"{'Director': 'Guðrún Ragnarsdóttir', 'IMDb Page': 'https://www.imdb.com/name/nm3810759/?ref_=fn_nme_nme_1'}"
Sumitra Peries,"{'Director': 'Sumitra Peries', 'IMDb Page': 'https://www.imdb.com/name/nm0673755/?ref_=fn_nme_nme_1'}"
Ann Duroj,"{'Director': 'Ann Duroj', 'IMDb Page': 'https://www.imdb.com/name/nm0244272/?ref_=fn_nme_nme_1'}"
Joyce Trozzo,"{'Director': 'Joyce Trozzo', 'IMDb Page': 'https://www.imdb.com/name/nm1587460/?ref_=fn_nme_nme_1'}"
Anne Giafferi,"{'Director': 'Anne Giafferi', 'IMDb Page': 'https://www.imdb.com/name/nm1199305/?ref_=fn_nme_nme_1'}"
Sarah Polley,"{'Director': 'Sarah Polley', 'IMDb Page': 'https://www.imdb.com/name/nm0001631/?ref_=fn_nme_nme_1'}"
Katerina Evangelakou,"{'Director': 'Katerina Evangelakou', 'IMDb Page': 'https://www.imdb.com/name/nm0262450/?ref_=fn_nme_nme_1'}"
Lara Izagirre,"{'Director': 'Lara Izagirre', 'IMDb Page': 'https://www.imdb.com/name/nm3366284/?ref_=fn_nme_nme_1'}"
Lia Hietala,"{'Director': 'Lia Hietala', 'IMDb Page': 'https://www.imdb.com/name/nm8687501/?ref_=fn_nme_nme_1'}"
Elzbieta Sikorska,"{'Director': 'Elzbieta Sikorska', 'IMDb Page': 'https://www.imdb.com/name/nm0797754/?ref_=fn_nme_nme_1'}"
Lana Wachowski,"{'Director': 'Lana Wachowski', 'IMDb Page': 'https://www.imdb.com/name/nm0905154/?ref_=fn_nme_nme_1'}"
Undine Frömming,"{'Director': 'Undine Frömming', 'IMDb Page': 'https://www.imdb.com/name/nm1872613/?ref_=fn_nme_nme_1'}"
Annette Hollywood,"{'Director': 'Annette Hollywood', 'IMDb Page': 'https://www.imdb.com/name/nm1760780/?ref_=fn_nme_nme_1'}"
Juana Dubiel,"{'Director': 'Juana Dubiel', 'IMDb Page': 'https://www.imdb.com/name/nm1879705/?ref_=fn_nme_nme_1'}"
Eva Bröckerhoff,"{'Director': 'Eva Bröckerhoff', 'IMDb Page': 'https://www.imdb.com/name/nm1875206/?ref_=fn_nme_nme_1'}"
Anna Gollwitzer,"{'Director': 'Anna Gollwitzer', 'IMDb Page': 'https://www.imdb.com/name/nm1873846/?ref_=fn_nme_nme_1'}"
Nathalie Percillier,"{'Director': 'Nathalie Percillier', 'IMDb Page': 'https://www.imdb.com/name/nm0672865/?ref_=fn_nme_nme_1'}"
Graziella Tomasi,"{'Director': 'Graziella Tomasi', 'IMDb Page': 'https://www.imdb.com/name/nm2581872/?ref_=fn_nme_nme_1'}"
Waltraud Weiland,"{'Director': 'Waltraud Weiland', 'IMDb Page': 'https://www.imdb.com/name/nm1877085/?ref_=fn_nme_nme_1'}"
Caroline Martel,"{'Director': 'Caroline Martel', 'IMDb Page': 'https://www.imdb.com/name/nm0551466/?ref_=fn_nme_nme_1'}"
Grethe Grathwol,"{'Director': 'Grethe Grathwol', 'IMDb Page': 'Not Found'}"
Shirel Peleg,"{'Director': 'Shirel Peleg', 'IMDb Page': 'https://www.imdb.com/name/nm4521136/?ref_=fn_nme_nme_1'}"
Ani Simon-Kennedy,"{'Director': 'Ani Simon-Kennedy', 'IMDb Page': 'https://www.imdb.com/name/nm2812431/?ref_=fn_nme_nme_1'}"
Dolly Dulu,"{'Director': 'Dolly Dulu', 'IMDb Page': 'https://www.imdb.com/name/nm5779308/?ref_=fn_nme_nme_1'}"
Li Shaohong,"{'Director': 'Li Shaohong', 'IMDb Page': 'https://www.imdb.com/name/nm0508508/?ref_=fn_nme_nme_1'}"
Louise Detlefsen,"{'Director': 'Louise Detlefsen', 'IMDb Page': 'https://www.imdb.com/name/nm1584782/?ref_=fn_nme_nme_1'}"
Kyoko Miyake,"{'Director': 'Kyoko Miyake', 'IMDb Page': 'https://www.imdb.com/name/nm3525500/?ref_=fn_nme_nme_1'}"
Nishtha Jain,"{'Director': 'Nishtha Jain', 'IMDb Page': 'https://www.imdb.com/name/nm3283906/?ref_=fn_nme_nme_1'}"
Catalina Aguilar Mastretta,"{'Director': 'Catalina Aguilar Mastretta', 'IMDb Page': 'https://www.imdb.com/name/nm3403118/?ref_=fn_nme_nme_1'}"
Lakshmy Ramakrishnan,"{'Director': 'Lakshmy Ramakrishnan', 'IMDb Page': 'https://www.imdb.com/name/nm3826010/?ref_=fn_nme_nme_1'}"
Mannin de Wildt,"{'Director': 'Mannin de Wildt', 'IMDb Page': 'https://www.imdb.com/name/nm0928742/?ref_=fn_nme_nme_1'}"
Sheri Elwood,"{'Director': 'Sheri Elwood', 'IMDb Page': 'https://www.imdb.com/name/nm0255910/?ref_=fn_nme_nme_1'}"
Laura Wandel,"{'Director': 'Laura Wandel', 'IMDb Page': 'https://www.imdb.com/name/nm3218491/?ref_=fn_nme_nme_1'}"
Malene Fenger-Grøndahl,"{'Director': 'Malene Fenger-Grøndahl', 'IMDb Page': 'Not Found'}"
Dörte Franke,"{'Director': 'Dörte Franke', 'IMDb Page': 'https://www.imdb.com/name/nm1520883/?ref_=fn_nme_nme_1'}"
Donatella di Cicco,"{'Director': 'Donatella di Cicco', 'IMDb Page': 'https://www.imdb.com/name/nm6053366/?ref_=fn_nme_nme_1'}"
Jessica Blue,"{'Director': 'Jessica Blue', 'IMDb Page': 'https://www.imdb.com/name/nm5212342/?ref_=fn_nme_nme_1'}"
Andrea Štaka,"{'Director': 'Andrea Štaka', 'IMDb Page': 'https://www.imdb.com/name/nm0821620/?ref_=fn_nme_nme_1'}"
Susanna Edwards,"{'Director': 'Susanna Edwards', 'IMDb Page': 'https://www.imdb.com/name/nm0250387/?ref_=fn_nme_nme_1'}"
Ane Mette Ruge,"{'Director': 'Ane Mette Ruge', 'IMDb Page': 'https://www.imdb.com/name/nm0749379/?ref_=fn_nme_nme_1'}"
Julia Halperin,"{'Director': 'Julia Halperin', 'IMDb Page': 'https://www.imdb.com/name/nm0356924/?ref_=fn_nme_nme_1'}"
Ana Martínez Álvarez,"{'Director': 'Ana Martínez Álvarez', 'IMDb Page': 'https://www.imdb.com/name/nm14521260/?ref_=fn_nme_nme_1'}"
Tata Amaral,"{'Director': 'Tata Amaral', 'IMDb Page': 'https://www.imdb.com/name/nm0024015/?ref_=fn_nme_nme_1'}"
Stewart Thorndike,"{'Director': 'Stewart Thorndike', 'IMDb Page': 'https://www.imdb.com/name/nm0861344/?ref_=fn_nme_nme_1'}"
Anja Hauberg,"{'Director': 'Anja Hauberg', 'IMDb Page': 'https://www.imdb.com/name/nm1458810/?ref_=fn_nme_nme_1'}"
Sandra Restrepo,"{'Director': 'Sandra Restrepo', 'IMDb Page': 'https://www.imdb.com/name/nm0720470/?ref_=fn_nme_nme_1'}"
Song Eun-ju,"{'Director': 'Song Eun-ju', 'IMDb Page': 'https://www.imdb.com/name/nm3082781/?ref_=fn_nme_nme_1'}"
Chantal Caron,"{'Director': 'Chantal Caron', 'IMDb Page': 'https://www.imdb.com/name/nm11532313/?ref_=fn_nme_nme_1'}"
Aizpea Goenaga,"{'Director': 'Aizpea Goenaga', 'IMDb Page': 'https://www.imdb.com/name/nm0324408/?ref_=fn_nme_nme_1'}"
Claudia Lehmann,"{'Director': 'Claudia Lehmann', 'IMDb Page': 'https://www.imdb.com/name/nm2508188/?ref_=fn_nme_nme_1'}"
Natalia Koryncka-Gruz,"{'Director': 'Natalia Koryncka-Gruz', 'IMDb Page': 'https://www.imdb.com/name/nm0466833/?ref_=fn_nme_nme_1'}"
Mona Hoel,"{'Director': 'Mona Hoel', 'IMDb Page': 'https://www.imdb.com/name/nm0388471/?ref_=fn_nme_nme_1'}"
Marita Stocker,"{'Director': 'Marita Stocker', 'IMDb Page': 'https://www.imdb.com/name/nm7156615/?ref_=fn_nme_nme_1'}"
Agnieszka Trzos,"{'Director': 'Agnieszka Trzos', 'IMDb Page': 'https://www.imdb.com/name/nm1525336/?ref_=fn_nme_nme_1'}"
Júlia Rezende,"{'Director': 'Júlia Rezende', 'IMDb Page': 'https://www.imdb.com/name/nm2365786/?ref_=fn_nme_nme_1'}"
Andrea Roggon,"{'Director': 'Andrea Roggon', 'IMDb Page': 'https://www.imdb.com/name/nm2952500/?ref_=fn_nme_nme_1'}"
Tereza Nvotová,"{'Director': 'Tereza Nvotová', 'IMDb Page': 'https://www.imdb.com/name/nm3208961/?ref_=fn_nme_nme_1'}"
Nancy Bardawil,"{'Director': 'Nancy Bardawil', 'IMDb Page': 'https://www.imdb.com/name/nm1636655/?ref_=fn_nme_nme_1'}"
Rachel Andersen Gómez,"{'Director': 'Rachel Andersen Gómez', 'IMDb Page': 'https://www.imdb.com/name/nm8327756/?ref_=fn_nme_nme_1'}"
Sara Forestier,"{'Director': 'Sara Forestier', 'IMDb Page': 'https://www.imdb.com/name/nm1271759/?ref_=fn_nme_nme_1'}"
Nanouk Leopold,"{'Director': 'Nanouk Leopold', 'IMDb Page': 'https://www.imdb.com/name/nm0007066/?ref_=fn_nme_nme_1'}"
Juliana Vicente,"{'Director': 'Juliana Vicente', 'IMDb Page': 'https://www.imdb.com/name/nm3438449/?ref_=fn_nme_nme_1'}"
Nina Faure,"{'Director': 'Nina Faure', 'IMDb Page': 'https://www.imdb.com/name/nm8457610/?ref_=fn_nme_nme_1'}"
Ásthildur Kjartansdóttir,"{'Director': 'Ásthildur Kjartansdóttir', 'IMDb Page': 'https://www.imdb.com/name/nm9341756/?ref_=fn_nme_nme_1'}"
Maria Novaro,"{'Director': 'Maria Novaro', 'IMDb Page': 'https://www.imdb.com/name/nm0636979/?ref_=fn_nme_nme_1'}"
Ruba Nadda,"{'Director': 'Ruba Nadda', 'IMDb Page': 'https://www.imdb.com/name/nm0618779/?ref_=fn_nme_nme_1'}"
Paola Randi,"{'Director': 'Paola Randi', 'IMDb Page': 'https://www.imdb.com/name/nm2113581/?ref_=fn_nme_nme_1'}"
Ritu Sarin,"{'Director': 'Ritu Sarin', 'IMDb Page': 'https://www.imdb.com/name/nm0765228/?ref_=fn_nme_nme_1'}"
Rusudan Chkonia,"{'Director': 'Rusudan Chkonia', 'IMDb Page': 'https://www.imdb.com/name/nm2902730/?ref_=fn_nme_nme_1'}"
Shuchanda,"{'Director': 'Shuchanda', 'IMDb Page': 'https://www.imdb.com/name/nm2596180/?ref_=fn_nme_nme_1'}"
Asako Hyūga,"{'Director': 'Asako Hyūga', 'IMDb Page': 'https://www.imdb.com/name/nm1976989/?ref_=fn_nme_nme_1'}"
Doris Metz,"{'Director': 'Doris Metz', 'IMDb Page': 'https://www.imdb.com/name/nm1110142/?ref_=fn_nme_nme_1'}"
Rebecca Whyte,"{'Director': 'Rebecca Whyte', 'IMDb Page': 'https://www.imdb.com/name/nm4084591/?ref_=fn_nme_nme_1'}"
Uli Aumüller,"{'Director': 'Uli Aumüller', 'IMDb Page': 'https://www.imdb.com/name/nm4639343/?ref_=fn_nme_nme_1'}"
Jeanne Leblanc,"{'Director': 'Jeanne Leblanc', 'IMDb Page': 'https://www.imdb.com/name/nm2860899/?ref_=fn_nme_nme_1'}"
Mika Kallwass,"{'Director': 'Mika Kallwass', 'IMDb Page': 'https://www.imdb.com/name/nm0436071/?ref_=fn_nme_nme_1'}"
Jennifer Abbott,"{'Director': 'Jennifer Abbott', 'IMDb Page': 'https://www.imdb.com/name/nm0007989/?ref_=fn_nme_nme_1'}"
Marina Migunova,"{'Director': 'Marina Migunova', 'IMDb Page': 'https://www.imdb.com/name/nm1785668/?ref_=fn_nme_nme_1'}"
Ondi Timoner,"{'Director': 'Ondi Timoner', 'IMDb Page': 'https://www.imdb.com/name/nm0863756/?ref_=fn_nme_nme_1'}"
Angela Ricci Lucchi,"{'Director': 'Angela Ricci Lucchi', 'IMDb Page': 'https://www.imdb.com/name/nm0723187/?ref_=fn_nme_nme_1'}"
Penny Woolcock,"{'Director': 'Penny Woolcock', 'IMDb Page': 'https://www.imdb.com/name/nm0941085/?ref_=fn_nme_nme_1'}"
Nancy Schwartzman,"{'Director': 'Nancy Schwartzman', 'IMDb Page': 'https://www.imdb.com/name/nm3626116/?ref_=fn_nme_nme_1'}"
Laura Poitras,"{'Director': 'Laura Poitras', 'IMDb Page': 'https://www.imdb.com/name/nm0688636/?ref_=fn_nme_nme_1'}"
Sabine Michel,"{'Director': 'Sabine Michel', 'IMDb Page': 'https://www.imdb.com/name/nm0584917/?ref_=fn_nme_nme_1'}"
Diane Kern,"{'Director': 'Diane Kern', 'IMDb Page': 'https://www.imdb.com/name/nm2721725/?ref_=fn_nme_nme_1'}"
Emily Hagins,"{'Director': 'Emily Hagins', 'IMDb Page': 'https://www.imdb.com/name/nm2035204/?ref_=fn_nme_nme_1'}"
Gessica Généus,"{'Director': 'Gessica Généus', 'IMDb Page': 'https://www.imdb.com/name/nm2327006/?ref_=fn_nme_nme_1'}"
Dionne Brand,"{'Director': 'Dionne Brand', 'IMDb Page': 'https://www.imdb.com/name/nm0104454/?ref_=fn_nme_nme_1'}"
Ginny Stikeman,"{'Director': 'Ginny Stikeman', 'IMDb Page': 'https://www.imdb.com/name/nm0830169/?ref_=fn_nme_nme_1'}"
Rosita Lama Muvdi,"{'Director': 'Rosita Lama Muvdi', 'IMDb Page': 'https://www.imdb.com/name/nm3391893/?ref_=fn_nme_nme_1'}"
Sofía Velázquez Núñez,"{'Director': 'Sofía Velázquez Núñez', 'IMDb Page': 'https://www.imdb.com/name/nm10254310/?ref_=fn_nme_nme_1'}"
Vanessa Caswill,"{'Director': 'Vanessa Caswill', 'IMDb Page': 'https://www.imdb.com/name/nm2726305/?ref_=fn_nme_nme_1'}"
Sophie Wiesner,"{'Director': 'Sophie Wiesner', 'IMDb Page': 'https://www.imdb.com/name/nm0927662/?ref_=fn_nme_nme_1'}"
Bess Kargman,"{'Director': 'Bess Kargman', 'IMDb Page': 'https://www.imdb.com/name/nm4557079/?ref_=fn_nme_nme_1'}"
Carrie Lozano,"{'Director': 'Carrie Lozano', 'IMDb Page': 'https://www.imdb.com/name/nm1293485/?ref_=fn_nme_nme_1'}"
Charlotte Lagarde,"{'Director': 'Charlotte Lagarde', 'IMDb Page': 'https://www.imdb.com/name/nm3618624/?ref_=fn_nme_nme_1'}"
Anna Lindenhoff Elming,"{'Director': 'Anna Lindenhoff Elming', 'IMDb Page': 'https://www.imdb.com/name/nm1389240/?ref_=fn_nme_nme_1'}"
Jeanne Labrune,"{'Director': 'Jeanne Labrune', 'IMDb Page': 'https://www.imdb.com/name/nm0479738/?ref_=fn_nme_nme_1'}"
Eve Annenberg,"{'Director': 'Eve Annenberg', 'IMDb Page': 'https://www.imdb.com/name/nm0030329/?ref_=fn_nme_nme_1'}"
Milena Kaneva,"{'Director': 'Milena Kaneva', 'IMDb Page': 'https://www.imdb.com/name/nm0437586/?ref_=fn_nme_nme_1'}"
Lise Roos,"{'Director': 'Lise Roos', 'IMDb Page': 'https://www.imdb.com/name/nm0740432/?ref_=fn_nme_nme_1'}"
Sha Ine Febriyanti,"{'Director': 'Sha Ine Febriyanti', 'IMDb Page': 'https://www.imdb.com/name/nm1237670/?ref_=fn_nme_nme_1'}"
Yin Lichuan,"{'Director': 'Yin Lichuan', 'IMDb Page': 'https://www.imdb.com/name/nm2723237/?ref_=fn_nme_nme_1'}"
Belinda Mason,"{'Director': 'Belinda Mason', 'IMDb Page': 'https://www.imdb.com/name/nm0556593/?ref_=fn_nme_nme_1'}"
Hanna Andersson,"{'Director': 'Hanna Andersson', 'IMDb Page': 'https://www.imdb.com/name/nm14225976/?ref_=fn_nme_nme_1'}"
Maia Iotzova,"{'Director': 'Maia Iotzova', 'IMDb Page': 'https://www.imdb.com/name/nm7065565/?ref_=fn_nme_nme_1'}"
Sabina Vajrača,"{'Director': 'Sabina Vajrača', 'IMDb Page': 'https://www.imdb.com/name/nm1983661/?ref_=fn_nme_nme_1'}"
Tina Leisch,"{'Director': 'Tina Leisch', 'IMDb Page': 'https://www.imdb.com/name/nm3374555/?ref_=fn_nme_nme_1'}"
Lauren Wolkstein,"{'Director': 'Lauren Wolkstein', 'IMDb Page': 'https://www.imdb.com/name/nm2171388/?ref_=fn_nme_nme_1'}"
Marie Donnio,"{'Director': 'Marie Donnio', 'IMDb Page': 'https://www.imdb.com/name/nm0232832/?ref_=fn_nme_nme_1'}"
Hilde Heier,"{'Director': 'Hilde Heier', 'IMDb Page': 'https://www.imdb.com/name/nm0374007/?ref_=fn_nme_nme_1'}"
Camila Loboguerrero,"{'Director': 'Camila Loboguerrero', 'IMDb Page': 'https://www.imdb.com/name/nm0516549/?ref_=fn_nme_nme_1'}"
Sooni Taraporevala,"{'Director': 'Sooni Taraporevala', 'IMDb Page': 'https://www.imdb.com/name/nm0850247/?ref_=fn_nme_nme_1'}"
Catalina Arroyave,"{'Director': 'Catalina Arroyave', 'IMDb Page': 'https://www.imdb.com/name/nm10222420/?ref_=fn_nme_nme_1'}"
Cate Shortland,"{'Director': 'Cate Shortland', 'IMDb Page': 'https://www.imdb.com/name/nm0795153/?ref_=fn_nme_nme_1'}"
Katy Lane Ndiaye,"{'Director': 'Katy Lane Ndiaye', 'IMDb Page': 'Not Found'}"
Marina Déak,"{'Director': 'Marina Déak', 'IMDb Page': 'https://www.imdb.com/name/nm1441193/?ref_=fn_nme_nme_1'}"
Natalia Almada,"{'Director': 'Natalia Almada', 'IMDb Page': 'https://www.imdb.com/name/nm1094895/?ref_=fn_nme_nme_1'}"
Iram Parveen Bilal,"{'Director': 'Iram Parveen Bilal', 'IMDb Page': 'https://www.imdb.com/name/nm2694154/?ref_=fn_nme_nme_1'}"
Maria Zmarz-Koczanowicz,"{'Director': 'Maria Zmarz-Koczanowicz', 'IMDb Page': 'https://www.imdb.com/name/nm0957459/?ref_=fn_nme_nme_1'}"
P. Jayadevi,"{'Director': 'P. Jayadevi', 'IMDb Page': 'https://www.imdb.com/name/nm4564095/?ref_=fn_nme_nme_1'}"
Delia Ackerman,"{'Director': 'Delia Ackerman', 'IMDb Page': 'https://www.imdb.com/name/nm2197430/?ref_=fn_nme_nme_1'}"
Ànnia Gabarró,"{'Director': 'Ànnia Gabarró', 'IMDb Page': 'https://www.imdb.com/name/nm11035333/?ref_=fn_nme_nme_1'}"
Niki Lindroth von Bahr,"{'Director': 'Niki Lindroth von Bahr', 'IMDb Page': 'https://www.imdb.com/name/nm3548166/?ref_=fn_nme_nme_1'}"
Claudia Llosa,"{'Director': 'Claudia Llosa', 'IMDb Page': 'https://www.imdb.com/name/nm2013191/?ref_=fn_nme_nme_1'}"
Roosa Toivonen,"{'Director': 'Roosa Toivonen', 'IMDb Page': 'https://www.imdb.com/name/nm1600841/?ref_=fn_nme_nme_1'}"
Marta Savina,"{'Director': 'Marta Savina', 'IMDb Page': 'https://www.imdb.com/name/nm4857152/?ref_=fn_nme_nme_1'}"
Siri Melchior,"{'Director': 'Siri Melchior', 'IMDb Page': 'https://www.imdb.com/name/nm0577483/?ref_=fn_nme_nme_1'}"
Lindsey Anderson Beer,"{'Director': 'Lindsey Anderson Beer', 'IMDb Page': 'https://www.imdb.com/name/nm5170222/?ref_=fn_nme_nme_1'}"
Anna van Keimpema,"{'Director': 'Anna van Keimpema', 'IMDb Page': 'https://www.imdb.com/name/nm1554032/?ref_=fn_nme_nme_1'}"
Lynne Ramsay,"{'Director': 'Lynne Ramsay', 'IMDb Page': 'https://www.imdb.com/name/nm0708903/?ref_=fn_nme_nme_1'}"
Katerina Suvorova,"{'Director': 'Katerina Suvorova', 'IMDb Page': 'https://www.imdb.com/name/nm6057215/?ref_=fn_nme_nme_1'}"
Marianne Ahrne,"{'Director': 'Marianne Ahrne', 'IMDb Page': 'https://www.imdb.com/name/nm0014356/?ref_=fn_nme_nme_1'}"
Michelle Latimer,"{'Director': 'Michelle Latimer', 'IMDb Page': 'https://www.imdb.com/name/nm1005753/?ref_=fn_nme_nme_1'}"
Patricia Benoit,"{'Director': 'Patricia Benoit', 'IMDb Page': 'https://www.imdb.com/name/nm0072256/?ref_=fn_nme_nme_1'}"
Vanessa Redgrave,"{'Director': 'Vanessa Redgrave', 'IMDb Page': 'https://www.imdb.com/name/nm0000603/?ref_=fn_nme_nme_1'}"
Helen Takkin,"{'Director': 'Helen Takkin', 'IMDb Page': 'https://www.imdb.com/name/nm3865088/?ref_=fn_nme_nme_1'}"
Catherine Owens,"{'Director': 'Catherine Owens', 'IMDb Page': 'https://www.imdb.com/name/nm14361153/?ref_=fn_nme_nme_1'}"
Kordula Hildebrandt,"{'Director': 'Kordula Hildebrandt', 'IMDb Page': 'https://www.imdb.com/name/nm5550353/?ref_=fn_nme_nme_1'}"
Jeanine Meerapfel,"{'Director': 'Jeanine Meerapfel', 'IMDb Page': 'https://www.imdb.com/name/nm0576197/?ref_=fn_nme_nme_1'}"
Pia Asikainen,"{'Director': 'Pia Asikainen', 'IMDb Page': 'https://www.imdb.com/name/nm3873925/?ref_=fn_nme_nme_1'}"
Cosima Spender,"{'Director': 'Cosima Spender', 'IMDb Page': 'https://www.imdb.com/name/nm1785694/?ref_=fn_nme_nme_1'}"
Shahrbanoo Sadat,"{'Director': 'Shahrbanoo Sadat', 'IMDb Page': 'https://www.imdb.com/name/nm4632782/?ref_=fn_nme_nme_1'}"
Zarah Ziadi,"{'Director': 'Zarah Ziadi', 'IMDb Page': 'https://www.imdb.com/name/nm3722765/?ref_=fn_nme_nme_1'}"
Triin Ruumet,"{'Director': 'Triin Ruumet', 'IMDb Page': 'https://www.imdb.com/name/nm3743255/?ref_=fn_nme_nme_1'}"
Linda Yellen,"{'Director': 'Linda Yellen', 'IMDb Page': 'https://www.imdb.com/name/nm0947388/?ref_=fn_nme_nme_1'}"
Lola Doillon,"{'Director': 'Lola Doillon', 'IMDb Page': 'https://www.imdb.com/name/nm0230696/?ref_=fn_nme_nme_1'}"
Katerina Kitidi,"{'Director': 'Katerina Kitidi', 'IMDb Page': 'https://www.imdb.com/name/nm4415168/?ref_=fn_nme_nme_1'}"
Jeanne Lefèvre,"{'Director': 'Jeanne Lefèvre', 'IMDb Page': 'https://www.imdb.com/name/nm13080868/?ref_=fn_nme_nme_1'}"
Angelica Melo,"{'Director': 'Angelica Melo', 'IMDb Page': 'https://www.imdb.com/name/nm8000176/?ref_=fn_nme_nme_1'}"
Jany Tempel,"{'Director': 'Jany Tempel', 'IMDb Page': 'https://www.imdb.com/name/nm0854628/?ref_=fn_nme_nme_1'}"
Marielle Nitoslawska,"{'Director': 'Marielle Nitoslawska', 'IMDb Page': 'https://www.imdb.com/name/nm0632993/?ref_=fn_nme_nme_1'}"
Tereza Reichová,"{'Director': 'Tereza Reichová', 'IMDb Page': 'https://www.imdb.com/name/nm3412677/?ref_=fn_nme_nme_1'}"
Natalie Bookchin,"{'Director': 'Natalie Bookchin', 'IMDb Page': 'https://www.imdb.com/name/nm7495913/?ref_=fn_nme_nme_1'}"
Sandra Werneck,"{'Director': 'Sandra Werneck', 'IMDb Page': 'https://www.imdb.com/name/nm0921348/?ref_=fn_nme_nme_1'}"
Mahalia Belo,"{'Director': 'Mahalia Belo', 'IMDb Page': 'https://www.imdb.com/name/nm4738043/?ref_=fn_nme_nme_1'}"
Noémie Merlant,"{'Director': 'Noémie Merlant', 'IMDb Page': 'https://www.imdb.com/name/nm4374524/?ref_=fn_nme_nme_1'}"
Annarosa Morri,"{'Director': 'Annarosa Morri', 'IMDb Page': 'https://www.imdb.com/name/nm1221370/?ref_=fn_nme_nme_1'}"
Jagoda Szelc,"{'Director': 'Jagoda Szelc', 'IMDb Page': 'https://www.imdb.com/name/nm5250587/?ref_=fn_nme_nme_1'}"
Gerardine Wurzburg,"{'Director': 'Gerardine Wurzburg', 'IMDb Page': 'https://www.imdb.com/name/nm0943458/?ref_=fn_nme_nme_1'}"
Kelly Schwarze,"{'Director': 'Kelly Schwarze', 'IMDb Page': 'https://www.imdb.com/name/nm1115199/?ref_=fn_nme_nme_1'}"
Athina Rachel Tsangari,"{'Director': 'Athina Rachel Tsangari', 'IMDb Page': 'https://www.imdb.com/name/nm0718125/?ref_=fn_nme_nme_1'}"
Maria Bäck,"{'Director': 'Maria Bäck', 'IMDb Page': 'https://www.imdb.com/name/nm2156061/?ref_=fn_nme_nme_1'}"
Aisling Walsh,"{'Director': 'Aisling Walsh', 'IMDb Page': 'https://www.imdb.com/name/nm0909532/?ref_=fn_nme_nme_1'}"
Tamra Davis,"{'Director': 'Tamra Davis', 'IMDb Page': 'https://www.imdb.com/name/nm0205542/?ref_=fn_nme_nme_1'}"
Yōka Kusano,"{'Director': 'Yōka Kusano', 'IMDb Page': 'https://www.imdb.com/name/nm1003266/?ref_=fn_nme_nme_1'}"
Antonietta De Lillo,"{'Director': 'Antonietta De Lillo', 'IMDb Page': 'https://www.imdb.com/name/nm0209744/?ref_=fn_nme_nme_1'}"
Kayoko Asakura,"{'Director': 'Kayoko Asakura', 'IMDb Page': 'https://www.imdb.com/name/nm14087098/?ref_=fn_nme_nme_1'}"
Natalie Krinsky,"{'Director': 'Natalie Krinsky', 'IMDb Page': 'https://www.imdb.com/name/nm3706989/?ref_=fn_nme_nme_1'}"
Noémie Saglio,"{'Director': 'Noémie Saglio', 'IMDb Page': 'https://www.imdb.com/name/nm2015017/?ref_=fn_nme_nme_1'}"
Eren Önsöz,"{'Director': 'Eren Önsöz', 'IMDb Page': 'https://www.imdb.com/name/nm2809632/?ref_=fn_nme_nme_1'}"
